"OFFICE_ID","DESCRIPTION","LONGITUDE_X","LATUTUDE_Y"
"E02000974","Westminster 015",-0.169072,51.515749
"E02000975","Westminster 016",-0.180018,51.514138
"E02000976","Westminster 017",-0.187929,51.513820
"E02000978","Westminster 019",-0.163563,51.499700
"E02000979","Westminster 020",-0.134744,51.496251
"E02000980","Westminster 021",-0.132095,51.492306
"E02000981","Westminster 022",-0.141297,51.489925
"E02000983","Westminster 024",-0.136700,51.486777
"E02001017","Bolton 034",-2.372421,53.541173
"E02001052","Manchester 008",-2.237541,53.510866
"E02001057","Manchester 013",-2.216837,53.484191
"E02001059","Manchester 015",-2.191064,53.479983
"E02001062","Manchester 018",-2.222867,53.467317
"E02001063","Manchester 019",-2.244018,53.464831
"E02001066","Manchester 022",-2.211552,53.457783
"E02001069","Manchester 025",-2.231483,53.453395
"E02001070","Manchester 026",-2.215486,53.452490
"E02001071","Manchester 027",-2.190918,53.450824
"E02001074","Manchester 030",-2.243230,53.445633
"E02001076","Manchester 032",-2.217454,53.442806
"E02001080","Manchester 036",-2.215241,53.436769
"E02001141","Rochdale 010",-2.164352,53.617565
"E02001143","Rochdale 012",-2.139486,53.609013
"E02001148","Rochdale 017",-2.180135,53.592833
"E02001149","Rochdale 018",-2.224698,53.591437
"E02001153","Rochdale 022",-2.214481,53.557758
"E02001169","Salford 013",-2.415572,53.505121
"E02001172","Salford 016",-2.258682,53.503325
"E02001176","Salford 020",-2.342291,53.489470
"E02001177","Salford 021",-2.314265,53.488397
"E02001178","Salford 022",-2.258493,53.487065
"E02001184","Salford 028",-2.279745,53.473723
"E02001248","Tameside 020",-2.075366,53.461443
"E02001259","Trafford 001",-2.265019,53.460651
"E02001289","Wigan 003",-2.692869,53.572995
"E02001304","Wigan 018",-2.708399,53.531798
"E02001307","Wigan 021",-2.668714,53.521780
"E02001377","Liverpool 031",-2.958256,53.405946
"E02001383","Liverpool 037",-2.968048,53.397300
"E02001384","Liverpool 038",-2.931387,53.394122
"E02001394","Liverpool 048",-2.930537,53.379962
"E02001420","St. Helens 015",-2.624059,53.450426
"E02001421","St. Helens 016",-2.759901,53.449666
"E02001424","St. Helens 019",-2.752773,53.433180
"E02001425","St. Helens 020",-2.715524,53.429895
"E02001437","Sefton 009",-3.018563,53.632949
"E02001518","Barnsley 010",-1.485730,53.563280
"E02001520","Barnsley 012",-1.510532,53.559699
"E02001521","Barnsley 013",-1.488680,53.550268
"E02001528","Barnsley 020",-1.374957,53.537521
"E02001532","Barnsley 024",-1.631460,53.522848
"E02001540","Doncaster 002",-1.158553,53.616392
"E02001541","Doncaster 003",-0.959365,53.610871
"E02001557","Doncaster 019",-1.116945,53.526070
"E02001560","Doncaster 022",-1.130032,53.518300
"E02001578","Rotherham 001",-1.369936,53.506772
"E02001600","Rotherham 023",-1.338443,53.417307
"E02001613","Sheffield 003",-1.491029,53.470162
"E02001614","Sheffield 004",-1.472362,53.463025
"E02001632","Sheffield 022",-1.455827,53.397890
"E02001636","Sheffield 026",-1.487905,53.389259
"E02001646","Sheffield 036",-1.496638,53.371687
"E02001648","Sheffield 038",-1.520940,53.370492
"E02001650","Sheffield 040",-1.481049,53.369373
"E02001652","Sheffield 042",-1.472198,53.368057
"E02001660","Sheffield 050",-1.487973,53.358535
"E02001678","Sheffield 068",-1.535838,53.324501
"E02001700","Gateshead 019",-1.657840,54.934654
"E02001708","Newcastle upon Tyne 001",-1.662832,55.020686
"E02001715","Newcastle upon Tyne 008",-1.652886,55.000654
"E02001720","Newcastle upon Tyne 013",-1.606589,54.993414
"E02001721","Newcastle upon Tyne 014",-1.748891,54.992551
"E02001724","Newcastle upon Tyne 017",-1.599391,54.986453
"E02001725","Newcastle upon Tyne 018",-1.576717,54.984849
"E02001726","Newcastle upon Tyne 019",-1.669270,54.983446
"E02001729","Newcastle upon Tyne 022",-1.640273,54.977612
"E02001730","Newcastle upon Tyne 023",-1.597528,54.977335
"E02001731","Newcastle upon Tyne 024",-1.624399,54.974275
"E02001733","Newcastle upon Tyne 026",-1.570704,54.974206
"E02001736","Newcastle upon Tyne 029",-1.649808,54.971736
"E02001796","Sunderland 006",-1.374720,54.919706
"E02001803","Sunderland 013",-1.388392,54.902917
"E02001812","Sunderland 022",-1.393284,54.890773
"E02001857","Birmingham 031",-1.845519,52.514974
"E02001865","Birmingham 039",-1.932934,52.504726
"E02001870","Birmingham 044",-1.826999,52.495440
"E02001873","Birmingham 047",-1.931106,52.495924
"E02001876","Birmingham 050",-1.892107,52.487938
"E02001890","Birmingham 064",-1.940859,52.473022
"E02001905","Birmingham 079",-1.924851,52.458737
"E02001915","Birmingham 089",-1.816920,52.450060
"E02001922","Birmingham 096",-1.931587,52.442522
"E02001972","Coventry 015",-1.495442,52.423971
"E02001977","Coventry 020",-1.517283,52.416942
"E02001981","Coventry 024",-1.495188,52.414053
"E02001984","Coventry 027",-1.474251,52.406653
"E02001985","Coventry 028",-1.493108,52.405630
"E02001988","Coventry 031",-1.516724,52.404865
"E02001995","Coventry 038",-1.483759,52.389254
"E02001999","Coventry 042",-1.548336,52.371007
"E02002052","Sandwell 010",-1.996193,52.538737
"E02002058","Sandwell 016",-2.042552,52.527321
"E02002059","Sandwell 017",-1.993733,52.526474
"E02002064","Sandwell 022",-2.045123,52.504089
"E02002065","Sandwell 023",-1.979743,52.498486
"E02002068","Sandwell 026",-1.956758,52.488951
"E02002076","Sandwell 034",-1.974423,52.476756
"E02002096","Solihull 016",-1.779538,52.422136
"E02002109","Solihull 029",-1.830700,52.382942
"E02002139","Walsall 030",-1.979322,52.578659
"E02002148","Walsall 039",-1.908706,52.558309
"E02002163","Wolverhampton 015",-2.105038,52.596127
"E02002168","Wolverhampton 020",-2.141154,52.579197
"E02002184","Bradford 002",-1.818504,53.925970
"E02002186","Bradford 004",-1.941540,53.911533
"E02002190","Bradford 008",-1.900718,53.870017
"E02002201","Bradford 019",-1.729013,53.833054
"E02002204","Bradford 022",-1.840421,53.829129
"E02002205","Bradford 023",-1.947853,53.829897
"E02002221","Bradford 039",-1.746911,53.798075
"E02002226","Bradford 044",-1.774916,53.787876
"E02002231","Bradford 049",-1.800953,53.780201
"E02002239","Bradford 057",-1.724344,53.766594
"E02002240","Bradford 058",-1.850869,53.766602
"E02002241","Bradford 059",-1.790780,53.759915
"E02002268","Calderdale 025",-1.839340,53.682763
"E02002281","Kirklees 011",-1.668620,53.710923
"E02002312","Kirklees 042",-1.774204,53.637671
"E02002329","Kirklees 059",-1.769203,53.570113
"E02002373","Leeds 044",-1.582553,53.818981
"E02002384","Leeds 055",-1.546458,53.809511
"E02002392","Leeds 063",-1.562346,53.803404
"E02002404","Leeds 075",-1.521694,53.793074
"E02002461","Wakefield 024",-1.384205,53.685171
"E02002471","Wakefield 034",-1.332992,53.644152
"E02002496","Middlesbrough 001",-1.229567,54.569890
"E02002518","Redcar and Cleveland 004",-1.051418,54.603981
"E02002520","Redcar and Cleveland 006",-1.025337,54.590176
"E02002548","Stockton-on-Tees 014",-1.318994,54.560208
"E02002557","Stockton-on-Tees 023",-1.322334,54.517321
"E02002558","Stockton-on-Tees 024",-1.349242,54.499009
"E02002585","Halton 012",-2.739298,53.335770
"E02002599","Warrington 010",-2.629342,53.402388
"E02002606","Warrington 017",-2.582139,53.389944
"E02002607","Warrington 018",-2.600689,53.386347
"E02002610","Warrington 021",-2.474728,53.381458
"E02002652","Kingston upon Hull 001",-0.338671,53.801100
"E02002680","Kingston upon Hull 029",-0.346791,53.742503
"E02002684","East Riding of Yorkshire 001",-0.192375,54.103361
"E02002694","East Riding of Yorkshire 011",-0.778177,53.931514
"E02002702","East Riding of Yorkshire 019",-0.422053,53.840682
"E02002715","East Riding of Yorkshire 032",-0.564759,53.730372
"E02002726","North East Lincolnshire 001",-0.215114,53.614489
"E02002749","North Lincolnshire 001",-0.442723,53.683695
"E02002781","York 010",-1.072660,53.969302
"E02002783","York 012",-1.128326,53.963086
"E02002784","York 013",-1.081224,53.958340
"E02002786","York 015",-1.053581,53.956849
"E02002790","York 019",-1.074220,53.948408
"E02002794","York 023",-1.053462,53.941882
"E02002808","Derby 013",-1.489367,52.917556
"E02002813","Derby 018",-1.472273,52.908213
